skills_required,Skill_level,interests,interest_Levels,Career,assessment_score
Forestry Management,beginner,Forest Management,0.9,Forester,0.70
Environmental Science,intermediate,Ecosystem Conservation,0.5,Forester,0.80
Environmental Science,intermediate,Ecosystem Conservation,0.7,Forester,0.90
Environmental Science,intermediate,Ecosystem Conservation,0.9,Forester,0.50
Resource Conservation,advanced,Sustainability,0.5,Forester,0.60
Resource Conservation,advanced,Sustainability,0.7,Forester,0.70
Resource Conservation,advanced,Sustainability,0.9,Forester,0.80
Forest  Collection,beginner,Field Research,0.5,Forest Technician,0.50
Forest  Collection,beginner,Field Research,0.7,Forest Technician,0.60
Forest  Collection,beginner,Field Research,0.9,Forest Technician,0.70
GIS,intermediate,Forest Management,0.5,Forest Technician,0.80
GIS,intermediate,Forest Management,0.7,Forest Technician,0.90
GIS,intermediate,Forest Management,0.9,Forest Technician,0.50
Field Work,advanced,Environmental,0.5,Forest Technician,0.60
Field Work,advanced,Environmental,0.7,Forest Technician,0.70
Field Work,advanced,Environmental,0.9,Forest Technician,0.80
Wildlife Conservation,beginner,Wildlife Protection,0.5,Wildlife Manager,0.50
Wildlife Conservation,beginner,Wildlife Protection,0.7,Wildlife Manager,0.60
Wildlife Conservation,beginner,Wildlife Protection,0.9,Wildlife Manager,0.70
Ecological Management,intermediate,Biodiversity Conservation,0.5,Wildlife Manager,0.80
Ecological Management,intermediate,Biodiversity Conservation,0.7,Wildlife Manager,0.90
Ecological Management,intermediate,Biodiversity Conservation,0.9,Wildlife Manager,0.50
Habitat Restoration,advanced,Ecosystem Management,0.5,Wildlife Manager,0.60
Habitat Restoration,advanced,Ecosystem Management,0.7,Wildlife Manager,0.70
Habitat Restoration,advanced,Ecosystem Management,0.9,Wildlife Manager,0.80
Ecology,beginner,Ecosystem Dynamics,0.5,Forest Ecologist,0.50
Ecology,beginner,Ecosystem Dynamics,0.7,Forest Ecologist,0.60
Ecology,beginner,Ecosystem Dynamics,0.9,Forest Ecologist,0.70
 Analysis,intermediate,Forest Research,0.5,Forest Ecologist,0.80
 Analysis,intermediate,Forest Research,0.7,Forest Ecologist,0.90
 Analysis,intermediate,Forest Research,0.9,Forest Ecologist,0.50
Research,advanced,Environmental Impact,0.5,Forest Ecologist,0.60
Research,advanced,Environmental Impact,0.7,Forest Ecologist,0.70
Research,advanced,Environmental Impact,0.9,Forest Ecologist,0.80
Tree Care,beginner,Tree Health,0.5,Arborist,0.50
Tree Care,beginner,Tree Health,0.7,Arborist,0.60
Tree Care,beginner,Tree Health,0.9,Arborist,0.70
Climbing,intermediate,Urban Forestry,0.5,Arborist,0.80
Climbing,intermediate,Urban Forestry,0.7,Arborist,0.90
Climbing,intermediate,Urban Forestry,0.9,Arborist,0.50
Pruning,advanced,Arboriculture,0.5,Arborist,0.60
Pruning,advanced,Arboriculture,0.7,Arborist,0.70
Pruning,advanced,Arboriculture,0.9,Arborist,0.80
Soil Analysis,beginner,Soil Health,0.5,Soil Scientist,0.50
Soil Analysis,beginner,Soil Health,0.7,Soil Scientist,0.60
Soil Analysis,beginner,Soil Health,0.9,Soil Scientist,0.70
Environmental Science,intermediate,Agricultural Sustainability,0.5,Soil Scientist,0.80
Environmental Science,intermediate,Agricultural Sustainability,0.7,Soil Scientist,0.90
Environmental Science,intermediate,Agricultural Sustainability,0.9,Soil Scientist,0.50
Research,advanced,Environmental Impact,0.5,Soil Scientist,0.60
Research,advanced,Environmental Impact,0.7,Soil Scientist,0.70
Research,advanced,Environmental Impact,0.9,Soil Scientist,0.80
Leadership,beginner,Leadership,0.5,Military Officer,0.50
Leadership,beginner,Leadership,0.7,Military Officer,0.60
Leadership,beginner,Leadership,0.9,Military Officer,0.70
Decision-Making,intermediate,Defense Strategy,0.5,Military Officer,0.80
Decision-Making,intermediate,Defense Strategy,0.7,Military Officer,0.90
Decision-Making,intermediate,Defense Strategy,0.9,Military Officer,0.50
Tactical Knowledge,advanced,National Service,0.5,Military Officer,0.60
Tactical Knowledge,advanced,National Service,0.7,Military Officer,0.70
Tactical Knowledge,advanced,National Service,0.9,Military Officer,0.80
Intelligence Analysis,beginner,National Security,0.5,Intelligence Analyst,0.50
Intelligence Analysis,beginner,National Security,0.7,Intelligence Analyst,0.60
Intelligence Analysis,beginner,National Security,0.9,Intelligence Analyst,0.70
 Interpretation,intermediate,Information Analysis,0.5,Intelligence Analyst,0.80
 Interpretation,intermediate,Information Analysis,0.7,Intelligence Analyst,0.90
 Interpretation,intermediate,Information Analysis,0.9,Intelligence Analyst,0.50
Security Knowledge,advanced,Threat Assessment,0.5,Intelligence Analyst,0.60
Security Knowledge,advanced,Threat Assessment,0.7,Intelligence Analyst,0.70
Security Knowledge,advanced,Threat Assessment,0.9,Intelligence Analyst,0.80
Strategic Planning,beginner,Defense Strategy,0.5,Military Strategist,0.50
Strategic Planning,beginner,Defense Strategy,0.7,Military Strategist,0.60
Strategic Planning,beginner,Defense Strategy,0.9,Military Strategist,0.70
Conflict Analysis,intermediate,Military Tactics,0.5,Military Strategist,0.80
Conflict Analysis,intermediate,Military Tactics,0.7,Military Strategist,0.90
Conflict Analysis,intermediate,Military Tactics,0.9,Military Strategist,0.50
Leadership,advanced,Geopolitical Analysis,0.5,Military Strategist,0.60
Leadership,advanced,Geopolitical Analysis,0.7,Military Strategist,0.70
Leadership,advanced,Geopolitical Analysis,0.9,Military Strategist,0.80
Law Enforcement,beginner,Law and Order,0.5,Military Police Officer,0.50
Law Enforcement,beginner,Law and Order,0.7,Military Police Officer,0.60
Law Enforcement,beginner,Law and Order,0.9,Military Police Officer,0.70
Security,intermediate,Discipline,0.5,Military Police Officer,0.80
Security,intermediate,Discipline,0.7,Military Police Officer,0.90
Security,intermediate,Discipline,0.9,Military Police Officer,0.50
Discipline,advanced,Base Security,0.5,Military Police Officer,0.60
Discipline,advanced,Base Security,0.7,Military Police Officer,0.70
Discipline,advanced,Base Security,0.9,Military Police Officer,0.80
Counseling,beginner,Moral Support,0.5,Military Chaplain,0.50
Counseling,beginner,Moral Support,0.7,Military Chaplain,0.60
Counseling,beginner,Moral Support,0.9,Military Chaplain,0.70
Preaching,beginner,Islamic Faith,0.5,Imam,0.50
Preaching,beginner,Islamic Faith,0.7,Imam,0.60
Preaching,beginner,Islamic Faith,0.9,Imam,0.70
Theology,beginner,Christian Faith,0.5,Minister,0.50
Theology,beginner,Christian Faith,0.7,Minister,0.60
Theology,beginner,Christian Faith,0.9,Minister,0.70
Spiritual Counseling,beginner,Interfaith Service,0.5,Chaplain,0.50
Spiritual Counseling,beginner,Interfaith Service,0.7,Chaplain,0.60
Spiritual Counseling,beginner,Interfaith Service,0.9,Chaplain,0.70
Teaching,beginner,Scholarly Work,0.5,Theologian,0.50
Teaching,beginner,Scholarly Work,0.7,Theologian,0.60
Teaching,beginner,Scholarly Work,0.9,Theologian,0.70
User Research,beginner,User-Centered Design,0.5,User Experience Designer,0.50
User Research,beginner,User-Centered Design,0.7,User Experience Designer,0.60
User Research,beginner,User-Centered Design,0.9,User Experience Designer,0.70
Interaction Design,intermediate,Human-Computer Interaction,0.5,User Experience Designer,0.80
Interaction Design,intermediate,Human-Computer Interaction,0.7,User Experience Designer,0.90
Interaction Design,intermediate,Human-Computer Interaction,0.9,User Experience Designer,0.50
Usability Testing,advanced,Problem Solving,0.5,User Experience Designer,0.60
Usability Testing,advanced,Problem Solving,0.7,User Experience Designer,0.70
Usability Testing,advanced,Problem Solving,0.9,User Experience Designer,0.80
Visual Design,beginner,Visual Aesthetics,0.5,User Interface Designer,0.50
Visual Design,beginner,Visual Aesthetics,0.7,User Interface Designer,0.60
Visual Design,beginner,Visual Aesthetics,0.9,User Interface Designer,0.70
Interface Layout,intermediate,Graphic Design,0.5,User Interface Designer,0.80
Interface Layout,intermediate,Graphic Design,0.7,User Interface Designer,0.90
Interface Layout,intermediate,Graphic Design,0.9,User Interface Designer,0.50
Graphics Software,advanced,Usability,0.5,User Interface Designer,0.60
Graphics Software,advanced,Usability,0.7,User Interface Designer,0.70
Graphics Software,advanced,Usability,0.9,User Interface Designer,0.80
Product Design,beginner,Product Innovation,0.5,Industrial Designer,0.50
Product Design,beginner,Product Innovation,0.7,Industrial Designer,0.60
Product Design,beginner,Product Innovation,0.9,Industrial Designer,0.70
CAD Software,intermediate,Form and Function,0.5,Industrial Designer,0.80
CAD Software,intermediate,Form and Function,0.7,Industrial Designer,0.90
CAD Software,intermediate,Form and Function,0.9,Industrial Designer,0.50
Prototyping,advanced,Consumer Needs,0.5,Industrial Designer,0.60
Prototyping,advanced,Consumer Needs,0.7,Industrial Designer,0.70
Prototyping,advanced,Consumer Needs,0.9,Industrial Designer,0.80
Animation Software,beginner,Animation Techniques,0.5,3D Animator,0.50
Animation Software,beginner,Animation Techniques,0.7,3D Animator,0.60
Animation Software,beginner,Animation Techniques,0.9,3D Animator,0.70
Storytelling,intermediate,Visual Storytelling,0.5,3D Animator,0.80
Storytelling,intermediate,Visual Storytelling,0.7,3D Animator,0.90
Storytelling,intermediate,Visual Storytelling,0.9,3D Animator,0.50
Visual Art,advanced,Creative Expression,0.5,3D Animator,0.60
Visual Art,advanced,Creative Expression,0.7,3D Animator,0.70
Visual Art,advanced,Creative Expression,0.9,3D Animator,0.80
Event Coordination,beginner,Event Design,0.5,Event Planner,0.50
Event Coordination,beginner,Event Design,0.7,Event Planner,0.60
Event Coordination,beginner,Event Design,0.9,Event Planner,0.70
Budget Management,intermediate,Logistics,0.5,Event Planner,0.80
Budget Management,intermediate,Logistics,0.7,Event Planner,0.90
Budget Management,intermediate,Logistics,0.9,Event Planner,0.50
Vendor Negotiation,advanced,Client Relations,0.5,Event Planner,0.60
Vendor Negotiation,advanced,Client Relations,0.7,Event Planner,0.70
Vendor Negotiation,advanced,Client Relations,0.9,Event Planner,0.80
Conference Management,beginner,Professional Networking,0.5,Conference Coordinator,0.50
Conference Management,beginner,Professional Networking,0.7,Conference Coordinator,0.60
Conference Management,beginner,Professional Networking,0.9,Conference Coordinator,0.70
Program Development,intermediate,Conference Planning,0.5,Conference Coordinator,0.80
Program Development,intermediate,Conference Planning,0.7,Conference Coordinator,0.90
Program Development,intermediate,Conference Planning,0.9,Conference Coordinator,0.50
Registration,advanced,Logistics,0.5,Conference Coordinator,0.60
Registration,advanced,Logistics,0.7,Conference Coordinator,0.70
Registration,advanced,Logistics,0.9,Conference Coordinator,0.80
Tourism Management,beginner,Travel and Tourism,0.5,Destination Manager,0.50
Tourism Management,beginner,Travel and Tourism,0.7,Destination Manager,0.60
Tourism Management,beginner,Travel and Tourism,0.9,Destination Manager,0.70
Destination Promotion,intermediate,Destination Marketing,0.5,Destination Manager,0.80
Destination Promotion,intermediate,Destination Marketing,0.7,Destination Manager,0.90
Destination Promotion,intermediate,Destination Marketing,0.9,Destination Manager,0.50
Travel Planning,advanced,Hospitality,0.5,Destination Manager,0.60
Travel Planning,advanced,Hospitality,0.7,Destination Manager,0.70
Travel Planning,advanced,Hospitality,0.9,Destination Manager,0.80
Exhibition Planning,beginner,Artistic Creativity,0.5,Exhibition Designer,0.50
Exhibition Planning,beginner,Artistic Creativity,0.7,Exhibition Designer,0.60
Exhibition Planning,beginner,Artistic Creativity,0.9,Exhibition Designer,0.70
Visual Display,intermediate,Visual Storytelling,0.5,Exhibition Designer,0.80
Visual Display,intermediate,Visual Storytelling,0.7,Exhibition Designer,0.90
Visual Display,intermediate,Visual Storytelling,0.9,Exhibition Designer,0.50
Creative Design,advanced,3D Design,0.5,Exhibition Designer,0.60
Creative Design,advanced,3D Design,0.7,Exhibition Designer,0.70
Creative Design,advanced,3D Design,0.9,Exhibition Designer,0.80
Urban Design,beginner,Urban Development,0.5,Urban Planner,0.50
Urban Design,beginner,Urban Development,0.7,Urban Planner,0.60
Urban Design,beginner,Urban Development,0.9,Urban Planner,0.70
Land Use Planning,intermediate,Community Improvement,0.5,Urban Planner,0.80
Land Use Planning,intermediate,Community Improvement,0.7,Urban Planner,0.90
Land Use Planning,intermediate,Community Improvement,0.9,Urban Planner,0.50
GIS,advanced,Sustainable Cities,0.5,Urban Planner,0.60
GIS,advanced,Sustainable Cities,0.7,Urban Planner,0.70
GIS,advanced,Sustainable Cities,0.9,Urban Planner,0.80
Landscape Design,beginner,Outdoor Spaces,0.5,Landscape Architect,0.50
Landscape Design,beginner,Outdoor Spaces,0.7,Landscape Architect,0.60
Landscape Design,beginner,Outdoor Spaces,0.9,Landscape Architect,0.70
Environmental Planning,intermediate,Environmental Conservation,0.5,Landscape Architect,0.80
Environmental Planning,intermediate,Environmental Conservation,0.7,Landscape Architect,0.90
Environmental Planning,intermediate,Environmental Conservation,0.9,Landscape Architect,0.50
Site Analysis,advanced,Aesthetics,0.5,Landscape Architect,0.60
Site Analysis,advanced,Aesthetics,0.7,Landscape Architect,0.70
Site Analysis,advanced,Aesthetics,0.9,Landscape Architect,0.80
Interior Design,beginner,Interior Aesthetics,0.5,Interior Architect,0.50
Interior Design,beginner,Interior Aesthetics,0.7,Interior Architect,0.60
Interior Design,beginner,Interior Aesthetics,0.9,Interior Architect,0.70
Space Planning,intermediate,Functional Design,0.5,Interior Architect,0.80
Space Planning,intermediate,Functional Design,0.7,Interior Architect,0.90
Space Planning,intermediate,Functional Design,0.9,Interior Architect,0.50
Materials Selection,advanced,Client Collaboration,0.5,Interior Architect,0.60
Materials Selection,advanced,Client Collaboration,0.7,Interior Architect,0.70
Materials Selection,advanced,Client Collaboration,0.9,Interior Architect,0.80
Writing,beginner,Traveling,0.5,Travel Blogger,0.50
Writing,beginner,Traveling,0.7,Travel Blogger,0.60
Writing,beginner,Traveling,0.9,Travel Blogger,0.70
Photography,intermediate,Adventure,0.5,Travel Blogger,0.80
Photography,intermediate,Adventure,0.7,Travel Blogger,0.90
Photography,intermediate,Adventure,0.9,Travel Blogger,0.50
Social Media Marketing,advanced,Storytelling,0.5,Travel Blogger,0.60
Social Media Marketing,advanced,Storytelling,0.7,Travel Blogger,0.70
Social Media Marketing,advanced,Storytelling,0.9,Travel Blogger,0.80
Travel Planning,beginner,Travel Destinations,0.5,Travel Agent,0.50
Travel Planning,beginner,Travel Destinations,0.7,Travel Agent,0.60
Travel Planning,beginner,Travel Destinations,0.9,Travel Agent,0.70
Customer Service,intermediate,Customer Satisfaction,0.5,Travel Agent,0.80
Customer Service,intermediate,Customer Satisfaction,0.7,Travel Agent,0.90
Customer Service,intermediate,Customer Satisfaction,0.9,Travel Agent,0.50
Destination Knowledge,advanced,Itinerary Creation,0.5,Travel Agent,0.60
Destination Knowledge,advanced,Itinerary Creation,0.7,Travel Agent,0.70
Destination Knowledge,advanced,Itinerary Creation,0.9,Travel Agent,0.80
Music Composition,beginner,Music Creation,0.5,Music Composer,0.50
Music Composition,beginner,Music Creation,0.7,Music Composer,0.60
Music Composition,beginner,Music Creation,0.9,Music Composer,0.70
Music Theory,intermediate,Artistic Expression,0.5,Music Composer,0.80
Music Theory,intermediate,Artistic Expression,0.7,Music Composer,0.90
Music Theory,intermediate,Artistic Expression,0.9,Music Composer,0.50
Creativity,advanced,Collaboration,0.5,Music Composer,0.60
Creativity,advanced,Collaboration,0.7,Music Composer,0.70
Creativity,advanced,Collaboration,0.9,Music Composer,0.80
Directing,beginner,Theater Arts,0.5,Theater Director,0.50
Directing,beginner,Theater Arts,0.7,Theater Director,0.60
Directing,beginner,Theater Arts,0.9,Theater Director,0.70
Script Interpretation,intermediate,Storytelling,0.5,Theater Director,0.80
Script Interpretation,intermediate,Storytelling,0.7,Theater Director,0.90
Script Interpretation,intermediate,Storytelling,0.9,Theater Director,0.50
Leadership,advanced,Creative Collaboration,0.5,Theater Director,0.60
Leadership,advanced,Creative Collaboration,0.7,Theater Director,0.70
Leadership,advanced,Creative Collaboration,0.9,Theater Director,0.80
Dance Choreography,beginner,Dance,0.5,Choreographer,0.50
Dance Choreography,beginner,Dance,0.7,Choreographer,0.60
Dance Choreography,beginner,Dance,0.9,Choreographer,0.70
Music Interpretation,intermediate,Artistic Expression,0.5,Choreographer,0.80
Music Interpretation,intermediate,Artistic Expression,0.7,Choreographer,0.90
Music Interpretation,intermediate,Artistic Expression,0.9,Choreographer,0.50
Movement Design,advanced,Rhythm,0.5,Choreographer,0.60
Movement Design,advanced,Rhythm,0.7,Choreographer,0.70
Movement Design,advanced,Rhythm,0.9,Choreographer,0.80
Audio Recording,beginner,Audio Production,0.5,Sound Engineer,0.50
Audio Recording,beginner,Audio Production,0.7,Sound Engineer,0.60
Audio Recording,beginner,Audio Production,0.9,Sound Engineer,0.70
Mixing,intermediate,Recording Technology,0.5,Sound Engineer,0.80
Mixing,intermediate,Recording Technology,0.7,Sound Engineer,0.90
Mixing,intermediate,Recording Technology,0.9,Sound Engineer,0.50
Technical Knowledge,advanced,Music Engineering,0.5,Sound Engineer,0.60
Technical Knowledge,advanced,Music Engineering,0.7,Sound Engineer,0.70
Technical Knowledge,advanced,Music Engineering,0.9,Sound Engineer,0.80
Stage Management,beginner,Theatrical Production,0.5,Stage Manager,0.50
Stage Management,beginner,Theatrical Production,0.7,Stage Manager,0.60
Stage Management,beginner,Theatrical Production,0.9,Stage Manager,0.70
Organization,intermediate,Backstage Management,0.5,Stage Manager,0.80
Organization,intermediate,Backstage Management,0.7,Stage Manager,0.90
Organization,intermediate,Backstage Management,0.9,Stage Manager,0.50
Communication,advanced,Problem Solving,0.5,Stage Manager,0.60
Communication,advanced,Problem Solving,0.7,Stage Manager,0.70
Communication,advanced,Problem Solving,0.9,Stage Manager,0.80
Talent Scouting,beginner,Acting Talent,0.5,Casting Director,0.50
Talent Scouting,beginner,Acting Talent,0.7,Casting Director,0.60
Talent Scouting,beginner,Acting Talent,0.9,Casting Director,0.70
Casting,intermediate,Talent Discovery,0.5,Casting Director,0.80
Casting,intermediate,Talent Discovery,0.7,Casting Director,0.90
Casting,intermediate,Talent Discovery,0.9,Casting Director,0.50
Industry Knowledge,advanced,Collaboration,0.5,Casting Director,0.60
Industry Knowledge,advanced,Collaboration,0.7,Casting Director,0.70
Industry Knowledge,advanced,Collaboration,0.9,Casting Director,0.80
Real Estate Sales,beginner,Property Sales,0.5,Real Estate Agent,0.50
Real Estate Sales,beginner,Property Sales,0.7,Real Estate Agent,0.60
Real Estate Sales,beginner,Property Sales,0.9,Real Estate Agent,0.70
Negotiation,intermediate,Client Relations,0.5,Real Estate Agent,0.80
Negotiation,intermediate,Client Relations,0.7,Real Estate Agent,0.90
Negotiation,intermediate,Client Relations,0.9,Real Estate Agent,0.50
Market Knowledge,advanced,Real Estate Market Trends,0.5,Real Estate Agent,0.60
Market Knowledge,advanced,Real Estate Market Trends,0.7,Real Estate Agent,0.70
Market Knowledge,advanced,Real Estate Market Trends,0.9,Real Estate Agent,0.80
Property Management,beginner,Property Management,0.5,Property Manager,0.50
Property Management,beginner,Property Management,0.7,Property Manager,0.60
Property Management,beginner,Property Management,0.9,Property Manager,0.70
Tenant Relations,intermediate,Investment Properties,0.5,Property Manager,0.80
Tenant Relations,intermediate,Investment Properties,0.7,Property Manager,0.90
Tenant Relations,intermediate,Investment Properties,0.9,Property Manager,0.50
Maintenance Oversight,advanced,Real Estate Operations,0.5,Property Manager,0.60
Maintenance Oversight,advanced,Real Estate Operations,0.7,Property Manager,0.70
Maintenance Oversight,advanced,Real Estate Operations,0.9,Property Manager,0.80
Leasing,beginner,Property Leasing,0.5,Leasing Consultant,0.50
Leasing,beginner,Property Leasing,0.7,Leasing Consultant,0.60
Leasing,beginner,Property Leasing,0.9,Leasing Consultant,0.70
Customer Service,intermediate,Tenant Relations,0.5,Leasing Consultant,0.80
Customer Service,intermediate,Tenant Relations,0.7,Leasing Consultant,0.90
Customer Service,intermediate,Tenant Relations,0.9,Leasing Consultant,0.50
Rental Agreements,advanced,Marketing,0.5,Leasing Consultant,0.60
Rental Agreements,advanced,Marketing,0.7,Leasing Consultant,0.70
Rental Agreements,advanced,Marketing,0.9,Leasing Consultant,0.80
Property Inspection,beginner,Property Condition Assessment,0.5,Property Inspector,0.50
Property Inspection,beginner,Property Condition Assessment,0.7,Property Inspector,0.60
Property Inspection,beginner,Property Condition Assessment,0.9,Property Inspector,0.70
Maintenance Knowledge,intermediate,Quality Control,0.5,Property Inspector,0.80
Maintenance Knowledge,intermediate,Quality Control,0.7,Property Inspector,0.90
Maintenance Knowledge,intermediate,Quality Control,0.9,Property Inspector,0.50
Reporting,advanced,Safety,0.5,Property Inspector,0.60
Reporting,advanced,Safety,0.7,Property Inspector,0.70
Reporting,advanced,Safety,0.9,Property Inspector,0.80
Space Training,beginner,Space Exploration,0.5,Astronaut,0.50
Space Training,beginner,Space Exploration,0.7,Astronaut,0.60
Space Training,beginner,Space Exploration,0.9,Astronaut,0.70
Physical Fitness,intermediate,Adventure,0.5,Astronaut,0.80
Physical Fitness,intermediate,Adventure,0.7,Astronaut,0.90
Physical Fitness,intermediate,Adventure,0.9,Astronaut,0.50
Problem-Solving,advanced,Science,0.5,Astronaut,0.60
Problem-Solving,advanced,Science,0.7,Astronaut,0.70
Problem-Solving,advanced,Science,0.9,Astronaut,0.80
Aerospace Research,beginner,Aerospace Innovation,0.5,Aerospace Research Scientist,0.50
Aerospace Research,beginner,Aerospace Innovation,0.7,Aerospace Research Scientist,0.60
Aerospace Research,beginner,Aerospace Innovation,0.9,Aerospace Research Scientist,0.70
 Analysis,intermediate,Scientific Discovery,0.5,Aerospace Research Scientist,0.80
 Analysis,intermediate,Scientific Discovery,0.7,Aerospace Research Scientist,0.90
 Analysis,intermediate,Scientific Discovery,0.9,Aerospace Research Scientist,0.50
Scientific Method,advanced,Space Exploration,0.5,Aerospace Research Scientist,0.60
Scientific Method,advanced,Space Exploration,0.7,Aerospace Research Scientist,0.70
Scientific Method,advanced,Space Exploration,0.9,Aerospace Research Scientist,0.80
Systems Engineering,beginner,Spacecraft Development,0.5,Spacecraft Systems Engineer,0.50
Systems Engineering,beginner,Spacecraft Development,0.7,Spacecraft Systems Engineer,0.60
Systems Engineering,beginner,Spacecraft Development,0.9,Spacecraft Systems Engineer,0.70
Spacecraft Design,intermediate,Technology Innovation,0.5,Spacecraft Systems Engineer,0.80
Spacecraft Design,intermediate,Technology Innovation,0.7,Spacecraft Systems Engineer,0.90
Spacecraft Design,intermediate,Technology Innovation,0.9,Spacecraft Systems Engineer,0.50
Technical Expertise,advanced,Engineering,0.5,Spacecraft Systems Engineer,0.60
Technical Expertise,advanced,Engineering,0.7,Spacecraft Systems Engineer,0.70
Technical Expertise,advanced,Engineering,0.9,Spacecraft Systems Engineer,0.80
Satellite Operations,beginner,Satellite Technology,0.5,Satellite Operator,0.50
Satellite Operations,beginner,Satellite Technology,0.7,Satellite Operator,0.60
Satellite Operations,beginner,Satellite Technology,0.9,Satellite Operator,0.70
 Management,intermediate, Transmission,0.5,Satellite Operator,0.80
 Management,intermediate, Transmission,0.7,Satellite Operator,0.90
 Management,intermediate, Transmission,0.9,Satellite Operator,0.50
Communication,advanced,Space Communication,0.5,Satellite Operator,0.60
Communication,advanced,Space Communication,0.7,Satellite Operator,0.70
Communication,advanced,Space Communication,0.9,Satellite Operator,0.80
Bilingual Proficiency,beginner,Multilingualism,0.5,Translator,0.50
Bilingual Proficiency,beginner,Multilingualism,0.7,Translator,0.60
Bilingual Proficiency,beginner,Multilingualism,0.9,Translator,0.70
Language Translation,intermediate,Literature,0.5,Translator,0.80
Language Translation,intermediate,Literature,0.7,Translator,0.90
Language Translation,intermediate,Literature,0.9,Translator,0.50
Writing,advanced,Cultural Exchange,0.5,Translator,0.60
Writing,advanced,Cultural Exchange,0.7,Translator,0.70
Writing,advanced,Cultural Exchange,0.9,Translator,0.80
Oral Interpretation,beginner,Multilingual Communication,0.5,Interpreter,0.50
Oral Interpretation,beginner,Multilingual Communication,0.7,Interpreter,0.60
Oral Interpretation,beginner,Multilingual Communication,0.9,Interpreter,0.70
Multilingual Proficiency,intermediate,Language Mediation,0.5,Interpreter,0.80
Multilingual Proficiency,intermediate,Language Mediation,0.7,Interpreter,0.90
Multilingual Proficiency,intermediate,Language Mediation,0.9,Interpreter,0.50
Communication,advanced,Cross-Cultural Understanding,0.5,Interpreter,0.60
Communication,advanced,Cross-Cultural Understanding,0.7,Interpreter,0.70
Communication,advanced,Cross-Cultural Understanding,0.9,Interpreter,0.80
Interpretation,beginner,Deaf Community,0.5,Sign Language Interpreter,0.50
Interpretation,beginner,Deaf Community,0.7,Sign Language Interpreter,0.60
Interpretation,beginner,Deaf Community,0.9,Sign Language Interpreter,0.70
Communication,intermediate,Communication Access,0.5,Sign Language Interpreter,0.80
Communication,intermediate,Communication Access,0.7,Sign Language Interpreter,0.90
Communication,intermediate,Communication Access,0.9,Sign Language Interpreter,0.50
Legal Terminology,beginner,Legal Interpreting,0.5,Court Interpreter,0.50
Legal Terminology,beginner,Legal Interpreting,0.7,Court Interpreter,0.60
Legal Terminology,beginner,Legal Interpreting,0.9,Court Interpreter,0.70
Courtroom Procedures,intermediate,Justice System,0.5,Court Interpreter,0.80
Courtroom Procedures,intermediate,Justice System,0.7,Court Interpreter,0.90
Courtroom Procedures,intermediate,Justice System,0.9,Court Interpreter,0.50
Multilingual Proficiency,advanced,Multilingual Communication,0.5,Court Interpreter,0.60
Multilingual Proficiency,advanced,Multilingual Communication,0.7,Court Interpreter,0.70
Multilingual Proficiency,advanced,Multilingual Communication,0.9,Court Interpreter,0.80
Literary Translation,beginner,Literature,0.5,Literary Translator,0.50
Literary Translation,beginner,Literature,0.7,Literary Translator,0.60
Literary Translation,beginner,Literature,0.9,Literary Translator,0.70
Writing,intermediate,Cross-Cultural Storytelling,0.5,Literary Translator,0.80
Writing,intermediate,Cross-Cultural Storytelling,0.7,Literary Translator,0.90
Writing,intermediate,Cross-Cultural Storytelling,0.9,Literary Translator,0.50
Cultural Understanding,advanced,Language and Artistry,0.5,Literary Translator,0.60
Cultural Understanding,advanced,Language and Artistry,0.7,Literary Translator,0.70
Cultural Understanding,advanced,Language and Artistry,0.9,Literary Translator,0.80
International Trade Regulations,beginner,Global Commerce,0.5,International Trade Specialist,0.50
International Trade Regulations,beginner,Global Commerce,0.7,International Trade Specialist,0.60
International Trade Regulations,beginner,Global Commerce,0.9,International Trade Specialist,0.70
Market Analysis,intermediate,Export-Import,0.5,International Trade Specialist,0.80
Market Analysis,intermediate,Export-Import,0.7,International Trade Specialist,0.90
Market Analysis,intermediate,Export-Import,0.9,International Trade Specialist,0.50
Negotiation,advanced,Cross-Border Business,0.5,International Trade Specialist,0.60
Negotiation,advanced,Cross-Border Business,0.7,International Trade Specialist,0.70
Negotiation,advanced,Cross-Border Business,0.9,International Trade Specialist,0.80
Export Planning,beginner,Export Operations,0.5,Export Manager,0.50
Export Planning,beginner,Export Operations,0.7,Export Manager,0.60
Export Planning,beginner,Export Operations,0.9,Export Manager,0.70
Logistics,intermediate,Market Expansion,0.5,Export Manager,0.80
Logistics,intermediate,Market Expansion,0.7,Export Manager,0.90
Logistics,intermediate,Market Expansion,0.9,Export Manager,0.50
Market Research,advanced,Global Trade,0.5,Export Manager,0.60
Market Research,advanced,Global Trade,0.7,Export Manager,0.70
Market Research,advanced,Global Trade,0.9,Export Manager,0.80
Import Regulations,beginner,Customs Compliance,0.5,Import Compliance Specialist,0.50
Import Regulations,beginner,Customs Compliance,0.7,Import Compliance Specialist,0.60
Import Regulations,beginner,Customs Compliance,0.9,Import Compliance Specialist,0.70
Customs Compliance,intermediate,Trade Compliance,0.5,Import Compliance Specialist,0.80
Customs Compliance,intermediate,Trade Compliance,0.7,Import Compliance Specialist,0.90
Customs Compliance,intermediate,Trade Compliance,0.9,Import Compliance Specialist,0.50
Risk Assessment,advanced,Regulatory Knowledge,0.5,Import Compliance Specialist,0.60
